322,,0,1,2,3,4,5,6,7,8,9
ID,Name,baseIconId,borderId,up left,up,up right,right,down right,down,left,spell
0,Question Mark,0,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,Rez Sickness,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2,iconname,2,-1,-1,-1,-1,-1,-1,-1,-1,-1
3,iconname,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
4,iconname,173,1,-1,-1,-1,-1,-1,-1,-1,116
5,iconname,173,2,-1,-1,-1,-1,-1,-1,-1,117
6,iconname,173,3,-1,-1,-1,-1,-1,-1,-1,118
7,iconname,4,-1,-1,-1,-1,-1,-1,-1,-1,-1
8,iconname,5,-1,-1,-1,-1,-1,-1,-1,-1,-1
9,iconname,6,-1,-1,-1,-1,-1,-1,-1,-1,-1
10,iconname,100,-1,-1,-1,-1,-1,-1,-1,-1,-1
11,iconname,100,0,-1,-1,-1,-1,-1,-1,-1,-1
12,iconname,100,1,-1,-1,-1,-1,-1,-1,-1,-1
13,iconname,100,2,-1,-1,-1,-1,-1,-1,-1,-1
14,iconname,100,3,-1,-1,-1,-1,-1,-1,-1,-1
15,iconname,102,-1,-1,-1,-1,-1,-1,-1,-1,-1
16,iconname,102,0,-1,-1,-1,-1,-1,-1,-1,-1
17,iconname,102,1,-1,-1,-1,-1,-1,-1,-1,-1
18,iconname,102,2,-1,-1,-1,-1,-1,-1,-1,-1
19,iconname,102,3,-1,-1,-1,-1,-1,-1,-1,-1
20,iconname,206,-1,-1,-1,-1,-1,-1,-1,-1,-1
21,iconname,206,0,-1,-1,-1,-1,-1,-1,-1,-1
22,iconname,206,1,-1,-1,-1,-1,-1,-1,-1,-1
23,iconname,206,2,-1,-1,-1,-1,-1,-1,-1,-1
24,iconname,206,3,-1,-1,-1,-1,-1,-1,-1,-1
25,iconname,10,-1,-1,-1,-1,-1,-1,-1,-1,-1
26,iconname,10,0,-1,-1,-1,-1,-1,-1,-1,-1
27,iconname,10,1,-1,-1,-1,-1,-1,-1,-1,-1
28,iconname,10,2,-1,-1,-1,-1,-1,-1,-1,-1
29,iconname,10,3,-1,-1,-1,-1,-1,-1,-1,-1
30,iconname,16,-1,-1,-1,-1,-1,-1,-1,-1,114
31,iconname,16,0,-1,-1,-1,-1,-1,-1,-1,115
32,iconname,16,1,-1,-1,-1,-1,-1,-1,-1,116
33,iconname,16,2,-1,-1,-1,-1,-1,-1,-1,117
34,iconname,16,3,-1,-1,-1,-1,-1,-1,-1,118
35,Combat speed buffs,200,-1,-1,-1,-1,-1,-1,-1,-1,-1
36,Combat speed buffs,200,0,-1,-1,-1,-1,-1,-1,-1,-1
37,Combat speed buffs,200,1,-1,-1,-1,-1,-1,-1,-1,-1
38,Combat speed buffs,200,2,-1,-1,-1,-1,-1,-1,-1,-1
