1,--GM--,0,0,0,0,0,0,0
2,GM,81,36452,59998,8112,1747,38,138
3,--ALBION--,0,0,0,0,0,0,0
4,Adribard,9,53186,16190,1712,45,0,0
5,AlbDragon,4,39046,55752,200,170,0,0
6,AlbHousing,13,60377,37227,3576,264,0,0
7,AlbSI,51,43576,53776,4800,180,0,0
8,AvalonCity,50,23759,14176,8077,180,0,0
9,CaerDiogel,56,42700,27800,0,0,0,0
10,CaerSidi,60,23862,32298,17006,0,0,0
11,CaerWitrin,9,18371,37088,2442,45,0,0
12,Camelot,26,28030,21689,7969,31,0,0
13,CamelotBMEntrance,2,33691,60136,3368,0,0,0
14,Campacorentin,8,8233,10651,1800,210,0,0
15,CatacombCardova,23,22928,21747,16239,90,0,0
16,CornwallStation,6,56839,22048,4894,270,0,0
17,Cotswold,0,11501,28560,2280,66,0,0
18,FtGwyntell,53,50300,40000,0,0,0,0
19,Humberton,2,24998,43224,2284,102,0,0
20,KeltoiFogou,22,21924,23042,16523,90,0,0
21,Krondon,61,24145,23218,15765,255,0,0
22,LlynBarfog,7,34814,31717,2086,270,0,0
23,Ludlow,2,47544,45008,2200,107,0,0
24,MithraTomb,21,24958,24540,16480,360,0,0
25,Prydwen,0,25319,45570,2856,180,0,0
26,Sauvage    ,11,19562,59542,2600,340,0,0
27,Snowdonia  ,12,28656,55847,8320,46,0,0
28,Stonehenge,1,37114,36189,2096,45,0,0
29,Swanton,3,28691,12372,3184,0,0,0
30,TepoksMine,24,24448,25983,15204,0,0,0
31,Ulfwych,8,39264,33733,1774,210,0,0
32,Wearyall,52,10000,51400,0,0,0,0
33,--MIDGARD--,0,0,0,0,0,0,0
34,Audliten,101,8093,23639,4581,324,0,0
35,Bjarkan,152,10400,56800,0,0,0,0
36,CursedTomb,128,21924,23042,16523,90,0,0
37,FortAtla,103,28345,13345,4408,182,0,0
38,FortVeldon,100,46059,6291,5304,90,,
39,Galplen,105,42975,25018,4758,78,0,0
40,Hagall,154,18200,57200,0,0,0,0
41,Haggerfel,100,51568,29281,4960,145,0,0
42,Huginfel,102,56861,46648,4672,270,,
43,Iarnvidiur,161,26750,27006,16000,327,0,0
44,Jordheim,120,23814,27713,8010,90,0,0
45,Knarr,155,8800,57100,0,0,0,0
46,MidDragon,116,22580,51912,2824,200,0,0
47,MidHousing,114,2445,37355,3632,80,0,0
48,MidSI,151,47173,46213,3450,180,0,0
49,Mularn,100,51099,52254,4680,185,0,0
50,Muspelheim,104,1509,41292,6429,82,0,0
51,NissesLair,129,26501,24981,16448,270,0,0
52,Spindelhalla,125,23964,23909,16000,160,0,0
53,SvasudFaste,111,45308,63438,5736,346,0,0
54,Trollheim,150,23826,37825,15997,14,0,0
55,TurSuil,190,29846,19483,13247,180,0,0
56,TuscarenGlacier,160,26531,9796,18781,290,0,0
57,Varulvhamn,127,27150,22693,14992,270,0,0
58,Vasudheim,101,52737,18588,4600,74,0,0
59,VendoCaverns,126,24545,24981,16625,0,0,0
60,VindsaulFaste,102,48800,1550,5704,354,,
61,WestSkona,106,24764,22830,5032,270,,
62,--HIBERNIA--,0,0,0,0,0,0,0
63,AalidFeie,183,50900,25000,0,0,0,0
64,AlainnBin,205,51838,52921,4944,118,0,0
65,Ardagh,201,32168,4574,5098,0,,
66,Caille,206,35286,35285,1824,317,0,0
67,Connla,202,10453,27741,4848,265,0,0
68,CoruscatingMine,220,25342,25468,16070,280,0,0
69,Droighaid,182,51880,60986,0,0,0,0
70,DruimCain,206,36243,2984,1824,180,,
71,DruimLigen,207,47715,2149,5184,23,0,0
72,FomorCity,180,24282,17188,16016,180,0,0
73,Galladoria,191,24518,23380,16000,233,0,0
74,HibDragon,216,58328,56568,2589,190,0,0
75,HibHousing,213,31250,2193,3008,180,0,0
76,HibSI,181,28799,51600,5955,180,0,0
77,Howth,201,21508,43557,5464,78,0,0
78,InnisCarthaig,204,47897,40952,4280,329,0,0
79,KoalinthCaverns,223,19126,24075,17266,90,0,0
80,MagMell,200,26196,7668,5200,900,0,0
81,MuireTomb,221,22928,21747,16239,90,0,0
82,Necht,186,51900,24600,0,0,0,0
83,SpraggonDen,222,24448,25983,15204,0,0,0
84,TirnamBeo,200,25579,45149,5448,243,0,0
85,TirNaNog,209,21800,25000,7921,3065,0,0
86,TreibhCaillte,224,27150,22693,14992,270,0,0
